Hsp90aa1	Itgb1bp2
Egr1	Egr1
Egr1	Srf
Cbr2	Cbr2
Hck	Hck
Hck	Cbl
Hsp90b1	Cnpy3
Egr2	Nab2
Sod1	Sod1
Il6	Rel
Il6	Nfkb1
Il6	Rela
Il6	Atf3
Nefl	Dlg4
Polr2a	Srsf2
Polr2a	Cdk9
Gzmc	Gzmc
Hoxa5	Meis1
Hoxa1	Pbx1
Hoxb6	Pbx1
Pgk2	Pgk2
Itgb1	Tln1
Itgb1	Fermt2
Ncl	Fmr1
Fth1	Fth1
Myl3	Myl2
Myl3	Myh7
Csf1r	Il34
Hoxa9	Pbx1
Hoxa9	Meis1
Hoxb8	Pbx1
Hoxb8	Meis1
Ctla4	Ctla4
Cdh1	Cdh1
Cdh1	Ctnnb1
Apoa2	Apoa2
Dntt	Dntt
H2az1	H2az1
Lrrc4b	Lrrc4b
Jmjd7	Jmjd7
Alkbh1	Alkbh1
Ubc	Ubc
Ubc	Psmd3
Ubc	Psmd7
Ubc	Plaa
Ubc	Eps15
Ubc	Psmc2
Ubc	Brcc3
Ubc	Psmc4
Ubc	Usp5
Ubc	Ube2k
Ubc	Psmc1
Ubc	Stam
Ubc	Ufd1
Ubc	Nbr1
Ubc	Vcp
Ubc	Abraxas2
Ubc	Cblb
Ubc	Psmd1
Ubc	Babam1
Ubc	Tax1bp1
Ubc	Tab3
Ubc	Usp13
Ubc	Tom1l2
Ubc	Uimc1
Ubc	Tnfaip3
Ubc	Eps15l1
Ubc	Map3k7
Ubc	Sqstm1
Ubc	Mysm1
Ubc	N4bp1
Ubc	Ankrd13d
Ubc	Poli
Ubc	Ubfd1
Ubc	Huwe1
Ubc	Usp8
Ubc	Ankrd13a
Ubc	Epn1
Ubc	Cfap36
Ubc	Epn2
Ubc	Babam2
Ubc	Cuedc1
Ubc	Psmd2
Ubc	Sharpin
Ubc	Vps36
Ubc	Wrnip1
Ubc	Ubxn1
Ubc	Rnf31
Ubc	Tab2
Ubc	Hgs
Ubc	Atxn3
Ubc	Nsfl1c
Ubc	Mycbp
Ubc	Adrm1
Ubc	Rabgef1
Ubc	Tollip
Ubc	Uchl1
Ubc	Rbck1
Ubc	Tnip1
Ubc	Itsn2
Ubc	Hdac6
Ndufb1	Ndufc2
Ndufb1	Ndufb5
Ndufb1	Ndufa8
Ndufb1	Ndufb10
Mnda	Mnda
Ifi204	Ifi204
Calm1	Calm1
Calm1	Myo5a
Calm1	Trpc4
Catspere	Slco6c1
Myod1	Myod1
Myod1	Tcf3
Myod1	Tcf3
Myod1	Id2
Myod1	Trim27
Myod1	Smad3
Eef1a1	Dlg4
Ccl2	Ccr2
Ccl2	Rela
Cdh3	Cdh3
Bcl2	Nfkb1
Bcl2	Cebpa
Bcl2	Rela
Bcl2	Bax
Bcl2	Bad
Nid1	Hspg2
Alad	Alad
Mapt	Mapt
Gsta2	Gsta2
Il1b	Rela
Cd14	Cd14
Slc3a2	Slc3a2
Ccl3	Ccl3
Cxcl2	Cxcl2
Cxcl2	Cxcr2
Cxcl2	Rela
Parp1	Casp3
Rara	Ncor1
Rara	Nrip1
Cdk1	H1-2
Cdk1	Ccnb1
Cdk1	H1-1
Cdk1	Ccna2
Cdk1	Ccne1
Hsp90ab1	Hsp90ab1
Hsp90ab1	Ahr
Hsp90ab1	Chordc1
Hsp90ab1	Ptges3
Dmd	Snta1
Dmd	Sntb2
Dmd	Sntb1
Dmd	Dtna
Cd1d1	Cd1d1
Cd1d2	Cd1d2
Camk2a	Camk2a
Camk2a	Grin1
Camk2a	Grin2b
Camk2a	Dlg4
Agt	Agt
Itpr1	Itpr1
Cd79a	Cd79b
Cd79a	Tcf3
App	App
App	Cntn5
App	Dab1
App	Apba2
App	Apbb2
App	Tnfrsf21
App	Mapk8ip1
Prkar2a	Prkar2a
Cox5a	Cox5b
Cox5a	Cox4i1
Cox5a	Cox6c
Pdcd6	Pdcd6ip
Cntn1	Cntn1
Cntn1	Dlg4
Rpl7a	Rpl36
Rpl7a	Rpl27
Rpl7a	Rpl23a
Rpl7a	Rpl8
Rpl7a	Rps3a
Rpl7a	Rpl15
Msx1	Dlx2
Rb1	Ccnd1
Rb1	Cdk4
Rb1	Cdk2
Rb1	Cebpd
Rb1	Runx2
Il1r1	Myd88
Il1r1	Irak1
Scd1	Scd1
Gsta1	Gsta1
Dnmt1	Dnmt1
Dnmt1	Ezh2
Rpl27a	Rpl18
Rpl27a	Rpl13
Rpl27a	Rpl36
Rpl27a	Rpl32
Rpl27a	Rpl36a
Rpl27a	Rpl15
Rpl27a	Rpl4
Rps16	Rps20
Rps16	Rps15
Rps16	Rps25
Rps16	Rack1
Rps16	Rps5
Rps16	Rps19
Rpl7	Rpl18
